Link,Company,About,Description,Employees,Homepage,Crunchbase,LinkedIn,Facebook,Twitter
https://climatescape.org//organizations/climate-kic,Climate KIC,"EIT Climate-KIC is a European knowledge and innovation community, working towards a prosperous, inclusive, climate-resilient society founded on a circular, zero-carbon economy.","Keeping global temperature rise below 2˚C necessitates unprecedented change: new social dynamics, ways of doing business, capital flows, policymaking, economic models, and new ways of living. No one organisation can solve climate change on its own.

We catalyse the rapid innovation needed across sectors by convening the brightest minds to tackle challenges, empowering leaders through capacity building, and seed funding the most promising climate-positive businesses.",Impact-specific,https://www.climate-kic.org/,https://www.crunchbase.com/organization/climate-kic-accelerator-london,https://www.linkedin.com/company/climate-kic/,https://www.facebook.com/ClimateKIC,https://twitter.com/ClimateKIC
https://climatescape.org//organizations/conduit-capital,Conduit Capital,"Conduit Capital exists to deploy knowledge, networks and capital to grow and scale high impact social enterprises by activating the global ecosysytem of The Conduit community (www.theconduit.com) and its impact partners.","Conduit Capital's Climate Transition Fund (CTF) provides growth stage private equity to businesses and technologies accelerating the transition to a low-carbon future.  Investing in the transition of Cities, Food & Agriculture, Energy and Transportation, CTF leverages the knowledge and resources of an engaged community and ecosystem surrounding TheConduit, a home for a diverse community of people passionate about driving positive impact.",Impact-specific,http://www.conduitcapitalpartners.com,https://www.linkedin.com/company/conduit-capital/,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/descartes-labs,Descartes Labs,"To better understand the planet, for good and for profit.","A data refinery, built to understand our planet
Instant access to science-ready imagery and intelligence from multiple data sources.

For decades, sensors have been collecting data about our planet. Yet complex global systems like agriculture, deforestation, water cycles, and many others, affect billions but are still poorly understood. Not only are these systems critical to understand for the good of humanity, they're also important for businesses as they adapt to — and attempt to thrive in — an ever-changing environment.

We are seeing an exponential rise in the number of real-world sensors, producing ever more data. Combining multiple sources provides a far richer view than that of any single data source. To harness this power and enable global-scale computation, it's necessary to have a data refinery that combines data from diverse sources, cleans it up and makes it ready for modeling - and a platform upon which to build living, learning models. That's exactly what we've built at Descartes Labs.
",51-200,https://www.descarteslabs.com/,https://www.crunchbase.com/organization/descartes-labs,https://www.linkedin.com/company/descartes-labs/,https://www.facebook.com/DescartesLabs/,https://twitter.com/DescartesLabs
https://climatescape.org//organizations/leap,Leap,Leap. One interface to the global energy markets.,"Leap allows every connected device to help balance the grid, and get paid for it. Access wholesale markets through a single API and help build the flexible, renewable grid of the future. ",11-50,https://leap.energy/,https://www.crunchbase.com/organization/leap-84c2,https://www.linkedin.com/company/leap-dex/,Нет данных,https://twitter.com/leapdex
https://climatescape.org//organizations/project-vesta,Project Vesta,Green sand that saves the planet. Using beaches to speed up olivine rock weathering to remove gigaton levels of CO2.,"The accelerated weathering of olivine is the only method we are aware of to remove CO2 from the atmosphere that is viable with today’s technology, can be done at a reasonable price, and that is scalable to the gigaton level.

Our plan is to put this process into action to demonstrate to the world that carbon removal is possible and that it is well past the time we start. Operating as a non-profit, Project Vesta seeks to create a global network of green sand beaches to counter-act the entirety of the total yearly CO2 outputs by humans (and eventually back to pre-industrial levels).",1-10,https://projectvesta.org/,https://www.linkedin.com/company/projectvesta/,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/station-a,Station A,AI-Powered Clean Energy Marketplace,Нет данных,1-10,https://stationa.com/,https://www.crunchbase.com/organization/station-a,https://www.linkedin.com/company/stationainc/,Нет данных,https://twitter.com/stationainc
https://climatescape.org//organizations/applied-negative-emissions-centre,Applied Negative Emissions Centre ,We connect. We implement. We fight against climate change. ,"As a connective and collaborative hub, ANEC is here to connect organisations, institutions, and innovators in the field of carbon capture and removal. We create links between interested stakeholders of different negative emission technologies in order to facilitate their implementation and deployment with the aim of helping organisations achieve their carbon emission mitigation commitments.  We understand that the process to achieving net zero carbon is not an easy one, but we are here to offer support and facilitate your progress. Our services allow our clients to gain a better understanding of their mitigation and carbon removal options. By tailoring our approach to the goals in mind, we help our clients reach their net zero targets within their aimed timeframe. Contact us to find out more.",1-10,https://www.negativeemissionscentre.co.uk,https://www.linkedin.com/company/applied-negative-emissions-centre/?viewAsMember=true,https://twitter.com/ANEC_global,Нет данных,Нет данных
https://climatescape.org//organizations/arcadia,Arcadia,We believe that homeowners and renters are long overdue for a new approach to energy — one that puts them first.,"We make clean energy an easy choice. Connect your utility account to access wind energy, solar power, savings, and more.",51-200,https://www.arcadia.com/,https://www.crunchbase.com/organization/arcadia-power-2,https://www.linkedin.com/company/arcadiahq/,https://www.facebook.com/ArcadiaHQ/,https://twitter.com/ArcadiaPower
https://climatescape.org//organizations/camus,Camus,Orchestration for the zero carbon grid,"Zero carbon grid orchestration
Distribution system optimization via market price signaling

The Camus Energy team is building Mimo, an open source software system, which is free for distribution grid operators.",1-10,https://camus.energy/,https://www.crunchbase.com/organization/camus-energy,https://www.linkedin.com/company/camus/,Нет данных,https://twitter.com/camusenergy
https://climatescape.org//organizations/climate-neutral,Climate Neutral,"Climate Neutral helps companies clean up their carbon by measuring, reducing, and offsetting their entire footprint.",Climate Neutral is an independent non-profit organization working to accelerate the transition to a low-carbon world by putting a price on carbon emissions.,1-10,http://www.climateneutral.org,https://www.linkedin.com/company/climate-neutral/,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/too-good-to-go,Too Good to Go,Fighting Food Waste Together,Surplus food marketplace,201-500,https://toogoodtogo.com/en,https://www.crunchbase.com/organization/too-good-to-go,https://www.linkedin.com/company/too-good-to-go/,https://www.facebook.com/toogoodtogoUK/,https://twitter.com/toogoodtogo_uk
https://climatescape.org//organizations/bowery-farming,Bowery Farming,Bowery is growing food for a better future by revolutionizing agriculture.,We’re growing food for a better future. ,51-200,https://boweryfarming.com/,https://www.crunchbase.com/organization/bowery-farming-inc,https://www.linkedin.com/company/bowery-farming/,https://www.facebook.com/boweryfarming/,https://twitter.com/BoweryFarming
https://climatescape.org//organizations/carbicrete,Carbicrete,"The cement-free, carbon-negative concrete solution",Low-cost building solutions that reduce ,1-10,http://carbicrete.com,https://www.crunchbase.com/organization/carbicrete,https://www.linkedin.com/company/carbicrete/,https://www.facebook.com/pg/Carbicrete/about/?ref=page_internal,https://twitter.com/carbicrete
https://climatescape.org//organizations/clearloop,Clearloop,Turning every day purchases into clean energy ,"Clearloop works with companies to offset their irreducible carbon footprint with new solar projects in the United States. With Clearloop, companies get to reclaim their carbon footprint and expand access to clean energy by building new solar projects in American communities otherwise getting left behind. ",1-10,https://clearloop.us/,https://www.crunchbase.com/organization/clearloop,https://www.linkedin.com/company/clearloop-corporation/,Нет данных,https://twitter.com/ClearloopUS
https://climatescape.org//organizations/climeworks,Climeworks,We stop climate change from reaching dangerous levels by removing CO2 from the air and storing it underground.,Climeworks captures CO2 from air with the world’s first commercial carbon removal technology. Our direct air capture plants remove CO2 from the atmosphere to supply to customers and to unlock a negative emissions future.,51-200,https://www.climeworks.com/,https://www.crunchbase.com/organization/climeworks,https://www.linkedin.com/company/climeworks/,http://www.facebook.com/climeworks,https://twitter.com/Climeworks
https://climatescape.org//organizations/dandelion,Dandelion,"Heating and cooling, reimagined.",See how homeowners are saving money by switching to geothemal heating & cooling,51-200,http://dandelionenergy.com,https://www.crunchbase.com/organization/dandelion-energy,https://www.linkedin.com/company/dandelion-geothermal/,https://www.facebook.com/DandelionHomeEnergy/,https://twitter.com/DandelionEnergy
https://climatescape.org//organizations/david-energy,David Energy,The Energy Operating System for all your Energy Needs,Нет данных,Private,https://www.davidenergy.com/,https://www.crunchbase.com/organization/david-energy,https://twitter.com/TheDavidEnergy,Нет данных,Нет данных
https://climatescape.org//organizations/emmi,Emmi,Climate risk rating for corporates,"Emmi provides the carbon risk management tools to correctly understand and price this risk. By creating a global investable standard for carbon risk, Emmi will unlock the enormous decarbonisation investment opportunity.",1-10,https://emmi.io/,https://www.linkedin.com/company/emmiplatform/?originalSubdomain=au,https://twitter.com/emmi_io,Нет данных,Нет данных
https://climatescape.org//organizations/environmental-defense-fund,Environmental Defense Fund,Environmental Defense Fund is where policymakers and business leaders turn for win-win solutions.,"Environmental Defense Fund or EDF is a United States-based nonprofit environmental advocacy group. The group is known for its work on issues including global warming, ecosystem restoration, oceans, and human health, and advocates using sound science, economics and law to find environmental solutions that work. It is nonpartisan, and its work often advocates market-based solutions to environmental problems.",501-1000,https://www.edf.org/,https://www.crunchbase.com/organization/environmental-defense-fund,https://www.linkedin.com/company/environmental-defense/,https://www.facebook.com/EnvDefenseFund?_rdr,https://twitter.com/EnvDefenseFund
https://climatescape.org//organizations/levelten,LevelTen,"LevelTen is the safest, most cost-effective way for corporate and industrial customers to purchase renewable energy.","LevelTen is the safest, most cost-effective way for companies to purchase renewable energy.",11-50,http://leveltenenergy.com,https://www.crunchbase.com/organization/levelten-energy,https://www.linkedin.com/company/levelten-energy,https://www.facebook.com/leveltenenergy,https://twitter.com/LevelTenEnergy
https://climatescape.org//organizations/myst-ai,Myst AI,Highly Accurate Time Series Forecasting for Energy Companies,"We use artificial intelligence to help energy companies better predict the future, resulting in lower costs, reduced risk and less waste.",1-10,https://www.myst.ai/,https://www.crunchbase.com/organization/myst-ai,https://www.linkedin.com/company/myst-ai/,Нет данных,Нет данных
https://climatescape.org//organizations/nextera,NextEra,"Nextera Energy Resources specializes in wind, solar, energy, nuclear and retail services.",Нет данных,Beach,http://www.nexteraenergyresources.com/home/index.shtml,https://www.crunchbase.com/organization/nextera-energy-resources,https://www.linkedin.com/company/nextera-energy-resources,https://www.facebook.com/NextEraEnergyR,https://twitter.com/NextEraEnergyR
https://climatescape.org//organizations/ocean-minusbased-climate-solutions,Ocean-Based Climate Solutions,We restore the ocean ecosystem while naturally sequestering CO2 in the deep ocean.,"Using endless free ocean waves as the energy source, our ""Oxygenator"" upwelling/downwelling pumps bring up nutrient-enriched water to the sunlit upper ocean, triggering blooms of phytoplankton (single-cell plants) which must absorb dissolved CO2 to metabolize the nutrients. Forming the base of the ocean food chain, phytoplankton are consumed by higher trophic species, with the carbon-rich detritus sinking by gravity with some converted into long-term “recalcitrant” CO2 by the microbial carbon pump. The downwelling pump amplifies the down-flow of high-CO2 water below 600m depth where it is isolated from the atmosphere for thousands of years. 

When scaled-up across the open oceans far from land, up to 1,800 gigatons can be naturally sequestered by 2100 using this technology, at a cost as low as $6.30 per ton.

Funding will come from public corporations which gain strategic, financial, and marketing benefits by reaching net-negative CO2. Until now, these entities have freely emitted CO2 while providing products and services we all consume. The cost never was paid, so annual corporate earnings were overstated and accumulated on the corporation’s balance sheet. Our funding mechanism – Stock For Carbon – removes this excess valuation year-by-year as the corporation redresses its cumulative CO2 emissions and becomes cumulatively net-negative CO2. Not being paid in cash, the corporation maintains its working capital, preserving jobs, R&D, and growth. Shareholders initially are diluted but the improved sustainability results in higher stock price and ROI.  
",1-10,http://www.ocean-based.com/,https://www.linkedin.com/company/ocean-based-climate-solutions-inc/,https://twitter.com/sinkco2,Нет данных,Нет данных
https://climatescape.org//organizations/opus-12,Opus 12,A profitable solution to carbon emissions.,"Opus 12 captures carbon emissions where pollution is generated and turns the CO2 into chemicals like methane, ethylene, and ethanol. Their technology bolts onto any source of CO₂ emissions, and with only water and electricity as inputs, transforms that CO₂ into some of the world's most critical chemical products. They can reduce the carbon footprint of the world’s heaviest emitters, while creating a new revenue stream from what is discarded today as a waste product. ",11-50,https://www.opus-12.com,https://www.crunchbase.com/organization/opus-12,https://www.linkedin.com/company/opus-12-inc/,https://www.facebook.com/Opus12CO2/,https://twitter.com/opus12co2
https://climatescape.org//organizations/overstory,Overstory,Monitoring all natural resources on Earth in real-time powered by AI and satellite data,"Overstory helps energy companies to mitigate wildfires and power outages. Improving the safety and reliability of the transmission and distribution system and reducing grid operation cost.

By extracting insights from a high variety of very high spatial and temporal resolution satellite data sources, including multi- and hyperspectral imagery, SAR and video. 

By applying AI algorithms specialized in trees and vegetation, predicting grow-in and fall-in risks based on species, growth, weather & climate, and vitality.

By facilitating predictive planning, tracking and verifying trimming cycles by contractors, and timely reports on Vegetation Management KPIs.",1-10,https://www.overstory.ai/,https://www.crunchbase.com/organization/overstoryai,https://www.linkedin.com/company/overstoryai/,Нет данных,https://twitter.com/overstoryai
https://climatescape.org//organizations/plan-a,Plan A,Get your carbon under control. Measure how you impact. Reduce where you can. Offset what is left.,"Plan A helps companies on their journey to sustainability.

Plan A has built a software that helps your business calculate, monitor and reduce its carbon footprint. Our platform allows you to track your carbon footprint monthly and learn how to reduce it with the support of a custom sustainability action plan, automatically created based on your worst-performing indicators and offset with the support of trusted environmental organisations. ",1-10,https://plana.earth/,https://www.crunchbase.com/organization/plana-earth,https://www.linkedin.com/company/planaearth/,http://facebook.com/planaearth/,https://twitter.com/planaearth
https://climatescape.org//organizations/powerhouse,Powerhouse,Backing entrepreneurs building the future of energy and mobility.,"Powerhouse is an innovation firm and venture fund.

Our firm partners with corporations and investors to help them find and engage with cutting-edge startups, tap into proprietary market insights, and lead the next century of clean technology innovation.

Our fund, Powerhouse Ventures, identifies and supports founding teams building innovative software to rapidly transform our global energy and mobility systems.",Impact-specific,https://www.powerhouse.fund/,https://www.crunchbase.com/organization/powerhouse-solar,https://www.linkedin.com/company/joinpowerhouse/,Нет данных,https://twitter.com/JoinPowerhouse
https://climatescape.org//organizations/prometheus,Prometheus,We remove carbon dioxide from the air and turn it into gasoline and Jet fuel.,DAC to Gasoline i.e. Carbon-neutral fuels,1-10,https://www.prometheusfuels.com/,https://www.crunchbase.com/organization/prometheus-2373,https://www.linkedin.com/company/prometheusfuels/,Нет данных,Нет данных
https://climatescape.org//organizations/scale-microgrid-solutions,Scale Microgrid Solutions,Scale Microgrid Solutions is a distributed clean energy and microgrid platform.,"Our future requires clean, resilient, and affordable energy. Microgrids are key to the solution, and we build them best.",11-50,http://scalemicrogridsolutions.com,https://www.crunchbase.com/organization/scale-microgrid-solutions,https://www.linkedin.com/company/scale-energy-solutions,Нет данных,https://twitter.com/ScaleMicrogrids
https://climatescape.org//organizations/terrafuse,Terrafuse,Actionable climate intelligence for a resilient earth,"Extreme climate events are more frequent, severe and disruptive than ever before. Yet current predictive technologies have not kept pace to enable timely and action-focused decisions.

Terrafuse builds AI technology to deliver actionable climate intelligence anywhere on the planet.",1-10,https://www.terrafuse.ai/,https://www.crunchbase.com/organization/terrafuse,https://www.linkedin.com/company/terrafuse,Нет данных,Нет данных
https://climatescape.org//organizations/10x-beta,10X Beta,Making a shoe out of thin air.,"The world must find a way to capture CO₂ emissions and turn them into valuable resources. Together with NRG and partners, we designed, developed, and fabricated the first  “shoe without a footprint” for the launch of COSIA’s Carbon XPRIZE.

The Carbon XPRIZE is a $20 Million global competition hosted by NRG to inspire the development of breakthrough technologies that convert CO₂ emissions into valuable assets like building materials, alternative fuels, and consumer products we use every day.

To kick off the competition, 10XBeta was commissioned to create a sneaker that showcased how consumer products could benefit from the use of recycled CO₂ at the object, system, and materials level. The process required extensive material science and biochemistry research, as well as support from partners in shoe and fashion design, sourcing, and manufacturing.",11-50,https://www.10xbeta.com/footprintless,https://www.crunchbase.com/organization/10xbeta,https://www.linkedin.com/company/10xbeta,https://www.facebook.com/10xbeta,https://twitter.com/10xbeta
https://climatescape.org//organizations/350org,350.org,We're an international movement of ordinary people working to end the age of fossil fuels and build a world of community,"350.org is building a global grassroots movement to solve the climate crisis. Our online campaigns, grassroots organizing, and mass public actions are led from the bottom up by thousands of volunteer organizers in over 188 countries. 350.org works hard to organize in a new way—everywhere at once, using online tools to facilitate strategic offline action. We want to be a laboratory for the best ways to strengthen the climate movement and catalyze transformation around the world.

350.org is a growing global organization incorporated and based in the United States, with staff currently working in 23 countries around the globe. 350.org is on a rapid growth trajectory, having grown our budget 400% since we incorporated in 2011. We seek ever more opportunities to galvanize the public to respond to the threat of climate change. This is due to two factors: scientific evidence of the threat of the problem and severity of impacts, and the success we have had in mobilization, creative communications, and organizing. Looking to the future, we believe aggressive political action on climate change can happen, but creating the political space for that change will push us to work more creatively, smartly, and quickly than ever before.

Our organisation is comprised of energetic, passionate, and disciplined change-makers.  We are known for our sophisticated use of technology and our distributed organizing, mass mobilization, and connections to other social movements. We love Skype emoticons, customized Spotify playlists, open-office formats with newspaper clippings on the walls, and marching in the streets.",51-200,https://350.org/,https://www.crunchbase.com/organization/350-org,https://www.linkedin.com/company/350-org/,https://www.facebook.com/350.org,https://twitter.com/350
https://climatescape.org//organizations/80-acres-farms,80 Acres Farms,Creating a better world through growing food differently.,"A vertical farm growing the cleanest (zero pesticides!), best tasting
produce. Truly local means shipping under 50 miles, farm to fork in 1 day!",51-200,http://80acresfarms.com,https://www.crunchbase.com/organization/80-acres-farms,https://www.linkedin.com/company/80-acres-farms/?originalSubdomain=in,https://www.facebook.com/80AcresFarms/,https://twitter.com/80AcresFarms
https://climatescape.org//organizations/aclima,Aclima,Aclima delivers hyperlocal air quality data and insights to reduce emissions and protect public health.,"Aclima delivers hyperlocal air quality data and insights to reduce emissions and protect public health, at both the local and global level.",11-50,https://aclima.io,https://www.crunchbase.com/organization/aclima,https://www.linkedin.com/company/aclima-inc-/,https://www.facebook.com/aclimaliveaware,https://twitter.com/aclima
https://climatescape.org//organizations/advanced-microgrid-solutions,Advanced Microgrid Solutions,Advanced Intelligence for Energy Markets,"AMS is accelerating the clean energy revolution by maximizing the value of renewables and energy storage with its AI-powered software platform, SigmaOne. 

Energy markets are changing rapidly. AMS helps clients manage complexity by automating and optimizing their energy assets, backed by a team of market and technology experts. Along with wind farms and solar plants, the AMS platform operates the world’s largest fleet of distributed energy storage systems.",51-200,https://www.advancedmicrogridsolutions.com,https://www.crunchbase.com/organization/advanced-microgrid-solutions,https://www.linkedin.com/company/amsai/,https://www.facebook.com/advanced-microgrid-solutions-1709699825970388,https://www.twitter.com/advmicrogrid
https://climatescape.org//organizations/aera-vc,Aera VC,Shaping industry for transformative good,"Aera VC invests in companies shaping our future for the good of the planet. They are on their third fund and have invested heavily in the future of food, aerospace, and biotech. Since 2018 they have branched more into the climate sphere with the food investments, a heavy supply chain play, and working with Opus 12. 

Aera is a remote venture fund located between Singapore, San Francisco, and Auckland. They have family investors and act as a smaller check coinvestor. No stress, fast moving, only a help when called on.",1-10,http://aera.vc,https://www.crunchbase.com/organization/aera-vc,https://www.linkedin.com/company/aera-vc,Нет данных,https://twitter.com/aera_vc
https://climatescape.org//organizations/ajax-strategies,Ajax Strategies,Investing to solve climate change,"MISSION
focused exclusively on solving climate change

LONG-TERM CAPITAL
groundbreaking innovation doesn’t happen overnight

COLLECTIVE MIND
leverage the community's collective expertise to build breakthrough technologies

COMMERCIALIZATION
widespread impact requires solutions that touch billions

INFLUENTIAL POLICY EXPERTISE
partner with a team with deep regulatory knowledge

DIVERSITY
novel strategies and diverse teams are critical to success",1-10,https://www.ajaxinvestmentstrategies.com/,https://www.crunchbase.com/organization/ajax-strategies-bb41,https://www.linkedin.com/company/ajax-strategies/,Нет данных,https://twitter.com/ajaxstrategy
https://climatescape.org//organizations/ampup,AmpUp,EV charging for communities of all shapes and sizes,"AmpUp is an electric vehicle (EV) software company and network provider that enables drivers, hosts, and fleets to charge stress-free. Our technology gives businesses and property owners the ability to efficiently manage multiple charge stations and locations in one platform. Advanced features, such as smart scheduling, dynamic access control and energy optimization provide site hosts more flexibility and affordability for their charger investment. ",1-10,https://ampup.io,https://www.crunchbase.com/organization/ampup,https://www.linkedin.com/company/nad-grid-corp,https://www.facebook.com/ampup.io,https://twitter.com/ampup_io
https://climatescape.org//organizations/awesense,Awesense,We are the Digital Layer that drives the Decentralized and Decarbonized Future of Energy.,Нет данных,"Vancouver,",https://www.awesense.com/,https://www.crunchbase.com/organization/awesense,https://www.linkedin.com/company/awesense,https://www.facebook.com/Awesense-167999323324091/,https://twitter.com/awesense
https://climatescape.org//organizations/bd-waste,BD Waste,Smart way to a clean environment ,"BD Waste is a clean-tech startup which provides a multi-stakeholder platform (Mobile App and USSD)  that gets users connected to local waste collectors and recyclers to facilitate environmentally sound disposal and recycling of wastes by offering convenient pickup services, online payment, and incentives for segregating one's trash. ",11-50,https://www.bdwaste.com/,https://www.linkedin.com/company/borladaakye/,https://www.twitter.com/borladaakye,Нет данных,Нет данных
https://climatescape.org//organizations/beta-hatch,Beta Hatch,A company industrializing the production of insects as a sustainable protein for animal feed.,"Beta Hatch grows insect protein for animal feed. Nutrient balanced fertilizer is a sterile by-product of their process. Beta Hatch uses their expertise in entomology to grow the most efficient and nutritious insects. Their goal is to develop the technology and knowledge that will make insects the next commodity crop.
",1-10,http://betahatch.com,https://www.crunchbase.com/organization/beta-hatch,https://www.linkedin.com/company/betahatch/,Нет данных,Нет данных
https://climatescape.org//organizations/blue-planet,Blue Planet,Solving the carbon capture problem by converting CO2 into high-value building materials,"Blue Planet’s technology uses CO2 as a raw material for making carbonate rocks. The carbonate rocks produced are used in place of natural limestone rock mined from quarries, which is the principal component of concrete. CO2 from flue gas is converted to carbonate (or CO3=) by contacting CO2 containing gas with a water-based capture solutions. This differentiates Blue Planet from most CO2 capture methods because the captured CO2 does not require a purification step, which is an energy and capital intensive process. As a result Blue Planet’s capture method is extremely efficient, and results in a lower cost than traditional methods of CO2 capture.",Los,http://www.blueplanet-ltd.com/,https://www.crunchbase.com/organization/blue-planet-06b5,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/bluefield-technologies,Bluefield Technologies,"Precise, always-on methane leak detection via microsatellites",We use backpack-size satellites with proprietary optical sensors to capture methane emissions data on each of the millions of sites around the world.,11-50,https://bluefield.co/,https://www.crunchbase.com/organization/bluefield-technologies,https://www.linkedin.com/company/bluefield-technologies,Нет данных,https://twitter.com/BluefieldTech/
https://climatescape.org//organizations/blueprint-power,Blueprint Power,Blueprint Power is a real estate and energy tech company that turns buildings into urban power plants.,Нет данных,New,https://www.blueprintpower.com/,https://www.crunchbase.com/organization/blueprint-power,https://www.linkedin.com/company/18227248/,Нет данных,https://twitter.com/BlueprintPower
https://climatescape.org//organizations/brightsource-energy,BrightSource Energy,BrightSource Energy designs and builds utility-scale solar power plants to help companies lessen their dependency on fossil fuels.,Нет данных,"Oakland,",http://www.brightsourceenergy.com,https://www.crunchbase.com/organization/brightsource-energy,http://www.linkedin.com/company/brightsource-energy-inc-,http://www.facebook.com/BrightSourceEnergy,http://twitter.com/BrightSource
